delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.576400,0.795780,0.996581,0.838483,0.844143
0.416666,0.588200,0.830801,0.997696,0.863199,0.870989
0.833333,0.623800,0.863871,0.998476,0.884578,0.896524
1.250000,0.673600,0.889971,0.999127,0.904289,0.917838
1.666666,0.694200,0.912970,0.999461,0.921470,0.935324
2.083333,0.740600,0.932223,0.999628,0.935132,0.950766
2.500000,0.771200,0.948252,0.999758,0.946343,0.961855
2.916666,0.794000,0.961808,0.999758,0.957085,0.972342
3.333333,0.827400,0.971896,0.999833,0.964177,0.979315
3.750000,0.838600,0.980346,0.999944,0.970903,0.985529
4.166666,0.877200,0.985904,0.999944,0.976222,0.989854
4.583333,0.883800,0.989929,0.999944,0.980472,0.993026
5.000000,0.909200,0.993083,0.999944,0.983496,0.995255
5.416666,0.921400,0.994999,0.999944,0.985869,0.996828
5.833333,0.932200,0.996132,0.999944,0.988137,0.998165
6.250000,0.950800,0.997090,0.999963,0.989493,0.998925
6.666666,0.950800,0.997700,0.999981,0.990692,0.999476
7.083333,0.963600,0.998136,1.000000,0.991631,0.999738
7.500000,0.968800,0.998414,1.000000,0.992439,0.999869
7.916666,0.970600,0.998780,1.000000,0.993169,0.999895
8.333333,0.974200,0.998920,1.000000,0.993482,0.999948
8.750000,0.977200,0.999059,1.000000,0.993951,0.999974
9.166666,0.983000,0.999146,1.000000,0.994186,1.000000
9.583333,0.986200,0.999199,1.000000,0.994473,1.000000
10.000000,0.988200,0.999338,1.000000,0.994655,1.000000
10.416666,0.989800,0.999408,1.000000,0.995020,1.000000
10.833333,0.988600,0.999425,1.000000,0.995359,1.000000
11.250000,0.990600,0.999547,1.000000,0.995802,1.000000
11.666666,0.992200,0.999599,1.000000,0.996193,1.000000
12.083333,0.993000,0.999669,1.000000,0.996324,1.000000
12.500000,0.993000,0.999669,1.000000,0.996715,1.000000
12.916666,0.992800,0.999704,1.000000,0.996819,1.000000
13.333333,0.995200,0.999721,1.000000,0.996923,1.000000
13.750000,0.993600,0.999739,1.000000,0.996976,1.000000
14.166666,0.995600,0.999756,1.000000,0.997106,1.000000
14.583333,0.996000,0.999791,1.000000,0.997262,1.000000
15.000000,0.996800,0.999826,1.000000,0.997288,1.000000
15.416666,0.996000,0.999843,1.000000,0.997315,1.000000
15.833333,0.997000,0.999861,1.000000,0.997523,1.000000
16.250000,0.997000,0.999878,1.000000,0.997654,1.000000
16.666666,0.997800,0.999878,1.000000,0.997732,1.000000
17.083333,0.997400,0.999895,1.000000,0.997784,1.000000
17.500000,0.997600,0.999913,1.000000,0.998019,1.000000
17.916666,0.998200,0.999930,1.000000,0.998097,1.000000
18.333333,0.998600,0.999930,1.000000,0.998123,1.000000
18.750000,0.999600,0.999948,1.000000,0.998175,1.000000
19.166666,0.998400,0.999983,1.000000,0.998384,1.000000
19.583333,0.998600,0.999983,1.000000,0.998514,1.000000
20.000000,0.998000,1.000000,1.000000,0.998592,1.000000
20.416666,0.999200,1.000000,1.000000,0.998618,1.000000
20.833333,0.998800,1.000000,1.000000,0.998696,1.000000
21.250000,0.999000,1.000000,1.000000,0.998696,1.000000
21.666666,0.999600,1.000000,1.000000,0.998775,1.000000
22.083333,0.999400,1.000000,1.000000,0.998775,1.000000
22.500000,0.999400,1.000000,1.000000,0.998827,1.000000
22.916666,0.999800,1.000000,1.000000,0.998853,1.000000
23.333333,0.999800,1.000000,1.000000,0.998853,1.000000
23.750000,0.999400,1.000000,1.000000,0.998879,1.000000
24.166666,0.999400,1.000000,1.000000,0.999009,1.000000
24.583333,0.999800,1.000000,1.000000,0.999061,1.000000
25.000000,0.999800,1.000000,1.000000,0.999087,1.000000
