delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.573400,0.777610,0.959916,0.804939,0.788820
1.000000,0.672000,0.853575,0.986701,0.876055,0.862486
2.000000,0.762400,0.909752,0.997003,0.926729,0.917978
3.000000,0.847800,0.949009,0.999469,0.960401,0.954621
4.000000,0.910800,0.972621,0.999781,0.981113,0.977487
5.000000,0.959200,0.987397,0.999875,0.991230,0.988450
6.000000,0.985800,0.994640,0.999875,0.996079,0.995046
7.000000,0.994600,0.997479,0.999906,0.997935,0.997303
8.000000,0.996200,0.998493,0.999906,0.998982,0.998564
9.000000,0.998800,0.999102,0.999906,0.999521,0.999062
10.000000,0.999400,0.999450,0.999906,0.999671,0.999443
11.000000,0.998600,0.999507,0.999906,0.999820,0.999560
12.000000,0.998800,0.999652,0.999906,0.999880,0.999648
13.000000,0.999000,0.999768,0.999906,1.000000,0.999707
14.000000,0.999800,0.999826,0.999906,1.000000,0.999736
15.000000,0.999400,0.999826,0.999906,1.000000,0.999765
16.000000,0.999800,0.999855,0.999906,1.000000,0.999765
17.000000,0.999800,0.999913,1.000000,1.000000,0.999765
18.000000,0.999800,0.999942,1.000000,1.000000,0.999765
19.000000,0.999800,0.999942,1.000000,1.000000,0.999765
20.000000,0.999400,0.999942,1.000000,1.000000,0.999765
