delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.568000,0.901531,0.912334,0.905720,0.897328
10.000000,0.998000,0.999304,0.998981,0.998941,0.998594
20.000000,1.000000,0.999304,0.998981,0.999294,0.998945
30.000000,1.000000,0.999304,0.998981,0.999294,0.998945
40.000000,1.000000,0.999304,0.998981,0.999294,0.998945
50.000000,1.000000,0.999304,0.998981,0.999294,0.998945
60.000000,1.000000,0.999304,0.998981,0.999294,0.998945
70.000000,1.000000,0.999304,0.998981,0.999294,0.998945
80.000000,1.000000,0.999304,0.998981,0.999294,0.998945
90.000000,1.000000,0.999304,0.998981,0.999294,0.998945
100.000000,1.000000,0.999304,0.998981,0.999294,0.998945
110.000000,1.000000,0.999304,0.998981,0.999294,0.998945
120.000000,1.000000,0.999304,0.998981,0.999294,0.998945
130.000000,1.000000,0.999304,0.998981,0.999294,0.998945
140.000000,1.000000,0.999304,0.998981,0.999294,0.998945
150.000000,1.000000,0.999304,0.998981,0.999294,0.998945
160.000000,1.000000,0.999304,0.998981,0.999294,0.998945
170.000000,1.000000,0.999304,0.998981,0.999294,0.998945
180.000000,1.000000,0.999304,0.998981,0.999294,0.998945
190.000000,1.000000,0.999304,0.998981,0.999294,0.998945
200.000000,1.000000,0.999304,0.998981,0.999294,0.998945
