delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.551000,0.932729,0.934317,0.932450,0.932504
0.250000,0.589000,0.941270,0.943215,0.940662,0.939569
0.500000,0.558000,0.949441,0.950960,0.949192,0.947177
0.750000,0.618000,0.956927,0.958549,0.957245,0.954731
1.000000,0.698000,0.964625,0.965510,0.965086,0.961578
1.250000,0.743000,0.971373,0.971162,0.972026,0.967556
1.500000,0.755000,0.977225,0.976291,0.976742,0.973480
1.750000,0.777000,0.982444,0.981734,0.982252,0.979077
2.000000,0.836000,0.986767,0.985921,0.986437,0.983370
2.250000,0.872000,0.989403,0.989742,0.988715,0.985707
2.500000,0.884000,0.991776,0.992202,0.990675,0.987772
2.750000,0.877000,0.994464,0.994348,0.993801,0.990598
3.000000,0.933000,0.996415,0.996389,0.995391,0.992935
3.250000,0.954000,0.997311,0.997488,0.996821,0.994076
3.500000,0.966000,0.998049,0.998482,0.997616,0.995055
3.750000,0.958000,0.998787,0.999215,0.998358,0.995815
4.000000,0.983000,0.999209,0.999372,0.998993,0.996794
4.250000,0.996000,0.999578,0.999581,0.999364,0.997011
4.500000,0.998000,0.999578,0.999634,0.999364,0.997011
4.750000,0.998000,0.999578,0.999634,0.999364,0.997011
5.000000,0.999000,0.999578,0.999634,0.999364,0.997120
