delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.556000,0.902634,0.894569,0.895415,0.885577
10.000000,0.994000,0.999726,0.999894,0.999728,0.999892
20.000000,0.999000,0.999726,0.999894,0.999783,0.999892
30.000000,1.000000,0.999726,0.999894,0.999783,0.999892
40.000000,1.000000,0.999726,0.999894,0.999783,0.999892
50.000000,1.000000,0.999726,0.999894,0.999783,0.999892
60.000000,1.000000,0.999726,0.999894,0.999783,0.999892
70.000000,1.000000,0.999726,0.999894,0.999783,0.999892
80.000000,1.000000,0.999726,0.999894,0.999783,0.999892
90.000000,1.000000,0.999726,0.999894,0.999783,0.999892
100.000000,1.000000,0.999726,0.999894,0.999783,0.999892
110.000000,1.000000,0.999726,0.999894,0.999783,0.999892
120.000000,1.000000,0.999726,0.999894,0.999783,0.999892
130.000000,1.000000,0.999726,0.999894,0.999783,0.999892
140.000000,1.000000,0.999726,0.999894,0.999783,0.999892
150.000000,1.000000,0.999726,0.999894,0.999783,0.999892
160.000000,1.000000,0.999726,0.999894,0.999783,0.999892
170.000000,1.000000,0.999726,0.999894,0.999783,0.999892
180.000000,1.000000,0.999726,0.999894,0.999783,0.999892
190.000000,1.000000,0.999726,0.999894,0.999783,0.999892
200.000000,1.000000,0.999726,0.999894,0.999783,0.999892
