delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.557000,0.895573,0.896950,0.894087,0.888169
10.000000,1.000000,0.999890,0.999732,0.999837,0.999721
20.000000,1.000000,0.999890,0.999732,0.999837,0.999721
30.000000,1.000000,0.999945,0.999732,0.999837,0.999721
40.000000,1.000000,0.999945,0.999732,0.999837,0.999721
50.000000,1.000000,0.999945,0.999732,0.999837,0.999721
60.000000,1.000000,0.999945,0.999732,0.999837,0.999721
70.000000,1.000000,0.999945,0.999732,0.999837,0.999721
80.000000,1.000000,0.999945,0.999732,0.999837,0.999721
90.000000,1.000000,0.999945,0.999732,0.999837,0.999721
100.000000,1.000000,0.999945,0.999732,0.999837,0.999721
110.000000,1.000000,0.999945,0.999732,0.999837,0.999721
120.000000,1.000000,0.999945,0.999732,0.999837,0.999721
130.000000,1.000000,0.999945,0.999732,0.999837,0.999721
140.000000,1.000000,0.999945,0.999732,0.999837,0.999721
150.000000,1.000000,0.999945,0.999732,0.999837,0.999721
160.000000,1.000000,0.999945,0.999732,0.999837,0.999721
170.000000,1.000000,0.999945,0.999732,0.999837,0.999721
180.000000,1.000000,0.999945,0.999732,0.999837,0.999721
190.000000,1.000000,0.999945,0.999732,0.999837,0.999721
200.000000,1.000000,0.999945,0.999732,0.999837,0.999721
