delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.596000,0.938725,0.931853,0.933637
0.500000,0.606000,0.956009,0.950584,0.949560
1.000000,0.736000,0.969147,0.967127,0.964959
1.500000,0.766000,0.979701,0.977533,0.976325
2.000000,0.868000,0.987562,0.987032,0.987115
2.500000,0.883000,0.992623,0.992155,0.992196
3.000000,0.958000,0.996985,0.997225,0.996700
3.500000,0.967000,0.998492,0.998559,0.998376
4.000000,0.988000,0.999785,0.999840,0.999738
4.500000,1.000000,0.999892,0.999947,0.999948
5.000000,0.997000,0.999892,0.999947,0.999948
5.500000,0.999000,0.999946,0.999947,0.999948
6.000000,0.999000,0.999946,1.000000,0.999948
6.500000,1.000000,0.999946,1.000000,0.999948
7.000000,1.000000,1.000000,1.000000,0.999948
7.500000,1.000000,1.000000,1.000000,0.999948
8.000000,1.000000,1.000000,1.000000,0.999948
8.500000,1.000000,1.000000,1.000000,0.999948
9.000000,1.000000,1.000000,1.000000,0.999948
9.500000,1.000000,1.000000,1.000000,0.999948
10.000000,1.000000,1.000000,1.000000,0.999948
