delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.929745,0.932265,0.932514
0.500000,0.947791,0.948703,0.948731
1.000000,0.963803,0.965298,0.965891
1.500000,0.975539,0.976883,0.976877
2.000000,0.984822,0.986954,0.986607
2.500000,0.990820,0.992694,0.992519
3.000000,0.995880,0.997078,0.996443
3.500000,0.998487,0.998852,0.998012
4.000000,0.999896,0.999687,0.999581
4.500000,0.999948,0.999948,0.999895
5.000000,0.999948,0.999948,0.999895
5.500000,0.999948,0.999948,0.999895
6.000000,1.000000,0.999948,0.999895
6.500000,1.000000,0.999948,0.999895
7.000000,1.000000,0.999948,0.999895
7.500000,1.000000,0.999948,0.999895
8.000000,1.000000,0.999948,0.999895
8.500000,1.000000,0.999948,0.999948
9.000000,1.000000,0.999948,0.999948
9.500000,1.000000,0.999948,0.999948
10.000000,1.000000,0.999948,0.999948
