delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.578000,0.912848,0.918900,0.912572,0.910128
1.000000,0.711000,0.942527,0.950663,0.942852,0.937666
2.000000,0.836000,0.962665,0.972330,0.965278,0.959097
3.000000,0.930000,0.972373,0.984828,0.976870,0.971368
4.000000,0.980000,0.977033,0.989631,0.981637,0.977302
5.000000,0.998000,0.980029,0.992250,0.984508,0.979721
6.000000,0.999000,0.982692,0.993724,0.987108,0.982371
7.000000,1.000000,0.985521,0.995252,0.989221,0.985540
8.000000,1.000000,0.988184,0.996453,0.991658,0.988305
9.000000,1.000000,0.991068,0.997653,0.993337,0.990206
10.000000,1.000000,0.992955,0.998308,0.994692,0.992107
11.000000,1.000000,0.994563,0.998745,0.996100,0.993605
12.000000,1.000000,0.995895,0.999072,0.997237,0.995046
13.000000,1.000000,0.996949,0.999291,0.998104,0.996140
14.000000,0.999000,0.997615,0.999454,0.998429,0.997177
15.000000,0.998000,0.998114,0.999563,0.999133,0.997696
16.000000,1.000000,0.998669,0.999618,0.999404,0.998329
17.000000,1.000000,0.998780,0.999618,0.999512,0.998502
18.000000,1.000000,0.998890,0.999618,0.999512,0.998675
19.000000,1.000000,0.998946,0.999618,0.999621,0.998848
20.000000,1.000000,0.999057,0.999618,0.999729,0.998905
