delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.912291,0.917948,0.911585,0.907931
1.000000,0.941953,0.949678,0.941832,0.935402
2.000000,0.962078,0.971323,0.964234,0.956782
3.000000,0.971780,0.983808,0.975813,0.969023
4.000000,0.976437,0.988605,0.980575,0.974943
5.000000,0.979431,0.991222,0.983442,0.977356
6.000000,0.982092,0.992694,0.986040,0.980000
7.000000,0.984920,0.994221,0.988150,0.983161
8.000000,0.987581,0.995420,0.990585,0.985920
9.000000,0.990464,0.996620,0.992262,0.987816
10.000000,0.992349,0.997274,0.993615,0.989713
11.000000,0.993957,0.997710,0.995022,0.991207
12.000000,0.995287,0.998037,0.996158,0.992644
13.000000,0.996341,0.998255,0.997024,0.993736
14.000000,0.997006,0.998419,0.997349,0.994770
15.000000,0.997505,0.998528,0.998052,0.995287
16.000000,0.998060,0.998582,0.998323,0.995920
17.000000,0.998170,0.998582,0.998431,0.996092
18.000000,0.998281,0.998582,0.998431,0.996264
19.000000,0.998337,0.998582,0.998539,0.996437
20.000000,0.998448,0.998582,0.998647,0.996494
