delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.555000,0.909661,0.920797,0.928938
2.000000,0.826000,0.961828,0.972959,0.967112
4.000000,0.974000,0.978851,0.989101,0.979708
6.000000,0.998000,0.983916,0.993720,0.985772
8.000000,0.999000,0.988668,0.997612,0.990592
10.000000,1.000000,0.993159,0.998910,0.993780
12.000000,1.000000,0.995718,0.999533,0.996812
14.000000,1.000000,0.998120,0.999844,0.998290
16.000000,1.000000,0.999060,0.999896,0.999300
18.000000,1.000000,0.999373,1.000000,0.999611
20.000000,1.000000,0.999530,1.000000,0.999611
22.000000,1.000000,0.999634,1.000000,0.999689
24.000000,1.000000,0.999739,1.000000,0.999689
26.000000,1.000000,0.999843,1.000000,0.999767
28.000000,1.000000,0.999843,1.000000,0.999922
30.000000,1.000000,0.999896,1.000000,0.999922
32.000000,1.000000,0.999896,1.000000,1.000000
34.000000,1.000000,0.999948,1.000000,1.000000
36.000000,1.000000,1.000000,1.000000,1.000000
38.000000,1.000000,1.000000,1.000000,1.000000
40.000000,1.000000,1.000000,1.000000,1.000000
