delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.577000,0.935176,0.936653,0.935930
1.000000,0.720000,0.968191,0.968849,0.969299
2.000000,0.849000,0.988334,0.987831,0.988238
3.000000,0.943000,0.997426,0.997092,0.997193
4.000000,0.984000,0.999937,0.999860,0.999797
5.000000,0.997000,0.999950,0.999898,0.999848
6.000000,0.995000,0.999962,0.999923,0.999898
7.000000,0.999000,0.999975,0.999936,0.999936
8.000000,0.999000,0.999987,0.999936,0.999936
9.000000,0.998000,0.999987,0.999949,0.999936
10.000000,1.000000,0.999987,0.999949,0.999949
11.000000,1.000000,0.999987,0.999962,0.999949
12.000000,0.999000,0.999987,0.999962,0.999975
13.000000,1.000000,0.999987,0.999974,0.999975
14.000000,0.999000,0.999987,0.999974,0.999975
15.000000,1.000000,0.999987,0.999974,0.999975
16.000000,1.000000,0.999987,0.999974,0.999975
17.000000,1.000000,0.999987,0.999974,0.999975
18.000000,1.000000,0.999987,0.999974,0.999987
19.000000,1.000000,0.999987,0.999974,0.999987
20.000000,1.000000,0.999987,0.999974,0.999987
