delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.589000,0.919711,0.926882,0.912693
3.000000,0.948000,0.975987,0.987910,0.974087
6.000000,0.998000,0.983826,0.995277,0.982285
9.000000,0.998000,0.988375,0.997974,0.986622
12.000000,1.000000,0.991468,0.999250,0.990260
15.000000,1.000000,0.993813,0.999776,0.992606
18.000000,1.000000,0.995494,0.999868,0.994425
21.000000,1.000000,0.996497,0.999934,0.995835
24.000000,1.000000,0.997344,0.999961,0.996824
27.000000,1.000000,0.997796,0.999987,0.997469
30.000000,1.000000,0.998404,0.999987,0.998049
33.000000,1.000000,0.998926,0.999987,0.998484
36.000000,1.000000,0.999167,0.999987,0.998893
39.000000,1.000000,0.999378,0.999987,0.999130
42.000000,1.000000,0.999548,0.999987,0.999341
45.000000,1.000000,0.999619,1.000000,0.999499
48.000000,1.000000,0.999717,1.000000,0.999710
51.000000,1.000000,0.999760,1.000000,0.999815
54.000000,1.000000,0.999788,1.000000,0.999895
57.000000,1.000000,0.999859,1.000000,0.999947
60.000000,1.000000,0.999873,1.000000,0.999974
