delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy
0.000000,0.834380,0.926699,0.912500
3.000000,0.885435,0.987715,0.973882
6.000000,0.892547,0.995081,0.982078
9.000000,0.896673,0.997777,0.986414
12.000000,0.899480,0.999053,0.990051
15.000000,0.901607,0.999579,0.992396
18.000000,0.903132,0.999671,0.994215
21.000000,0.904042,0.999737,0.995625
24.000000,0.904811,0.999763,0.996613
27.000000,0.905221,0.999790,0.997259
30.000000,0.905772,0.999790,0.997839
33.000000,0.906246,0.999790,0.998274
36.000000,0.906464,0.999790,0.998682
39.000000,0.906656,0.999790,0.998919
42.000000,0.906810,0.999790,0.999130
45.000000,0.906874,0.999803,0.999288
48.000000,0.906964,0.999803,0.999499
51.000000,0.907002,0.999803,0.999605
54.000000,0.907028,0.999803,0.999684
57.000000,0.907092,0.999803,0.999736
60.000000,0.907105,0.999803,0.999763
