delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.895000,0.992244,0.991084,0.990721,0.994599
0.250000,0.919000,0.993762,0.993001,0.993041,0.995826
0.500000,0.920000,0.995532,0.995000,0.993952,0.996931
0.750000,0.938000,0.996628,0.996334,0.995195,0.998036
1.000000,0.959000,0.997387,0.997667,0.996437,0.998527
1.250000,0.966000,0.997977,0.998000,0.996852,0.998772
1.500000,0.967000,0.998651,0.998500,0.997514,0.998895
1.750000,0.976000,0.999241,0.998917,0.998260,0.999509
2.000000,0.990000,0.999747,0.999500,0.998923,0.999632
2.250000,0.987000,0.999747,0.999917,0.999337,0.999754
2.500000,0.994000,0.999831,0.999917,0.999669,0.999877
2.750000,0.995000,0.999916,1.000000,0.999834,1.000000
3.000000,0.999000,0.999916,1.000000,1.000000,1.000000
3.250000,0.999000,0.999916,1.000000,1.000000,1.000000
3.500000,0.998000,0.999916,1.000000,1.000000,1.000000
3.750000,1.000000,0.999916,1.000000,1.000000,1.000000
4.000000,1.000000,1.000000,1.000000,1.000000,1.000000
4.250000,1.000000,1.000000,1.000000,1.000000,1.000000
4.500000,1.000000,1.000000,1.000000,1.000000,1.000000
4.750000,1.000000,1.000000,1.000000,1.000000,1.000000
5.000000,1.000000,1.000000,1.000000,1.000000,1.000000
