delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.992160,0.991001,0.990639,0.994476
0.250000,0.993678,0.992918,0.992958,0.995704
0.500000,0.995448,0.994918,0.993870,0.996809
0.750000,0.996544,0.996251,0.995112,0.997913
1.000000,0.997303,0.997584,0.996355,0.998404
1.250000,0.997893,0.997917,0.996769,0.998650
1.500000,0.998567,0.998417,0.997432,0.998773
1.750000,0.999157,0.998834,0.998177,0.999386
2.000000,0.999663,0.999417,0.998840,0.999509
2.250000,0.999663,0.999833,0.999254,0.999632
2.500000,0.999747,0.999833,0.999586,0.999755
2.750000,0.999831,0.999917,0.999751,0.999877
3.000000,0.999831,0.999917,0.999917,0.999877
3.250000,0.999831,0.999917,0.999917,0.999877
3.500000,0.999831,0.999917,0.999917,0.999877
3.750000,0.999831,0.999917,0.999917,0.999877
4.000000,0.999916,0.999917,0.999917,0.999877
4.250000,0.999916,0.999917,0.999917,0.999877
4.500000,0.999916,0.999917,0.999917,0.999877
4.750000,0.999916,0.999917,0.999917,0.999877
5.000000,0.999916,0.999917,0.999917,0.999877
