delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.894000,0.990168,0.991077,0.990220,0.993998
1.000000,0.958000,0.995814,0.995725,0.996582,0.996999
2.000000,0.986000,0.998443,0.999071,0.998481,0.998500
3.000000,0.999000,0.999319,0.999814,0.999430,0.999045
4.000000,1.000000,0.999708,0.999814,0.999430,0.999045
5.000000,1.000000,0.999708,0.999907,0.999525,0.999454
6.000000,1.000000,0.999805,0.999907,0.999525,0.999591
7.000000,1.000000,0.999805,0.999907,0.999715,0.999591
8.000000,1.000000,0.999903,0.999907,0.999715,0.999591
9.000000,1.000000,0.999903,1.000000,0.999810,0.999591
10.000000,1.000000,0.999903,1.000000,0.999905,0.999727
11.000000,1.000000,1.000000,1.000000,0.999905,0.999727
12.000000,1.000000,1.000000,1.000000,1.000000,0.999727
13.000000,1.000000,1.000000,1.000000,1.000000,0.999864
14.000000,1.000000,1.000000,1.000000,1.000000,0.999864
15.000000,1.000000,1.000000,1.000000,1.000000,1.000000
16.000000,1.000000,1.000000,1.000000,1.000000,1.000000
17.000000,1.000000,1.000000,1.000000,1.000000,1.000000
18.000000,1.000000,1.000000,1.000000,1.000000,1.000000
19.000000,1.000000,1.000000,1.000000,1.000000,1.000000
20.000000,1.000000,1.000000,1.000000,1.000000,1.000000
