delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.965818,0.965851,0.966006,0.886820
1.000000,0.971325,0.970380,0.972212,0.889497
2.000000,0.973889,0.973641,0.974064,0.890836
3.000000,0.974744,0.974366,0.974991,0.891323
4.000000,0.975123,0.974366,0.974991,0.891323
5.000000,0.975123,0.974457,0.975083,0.891688
6.000000,0.975218,0.974457,0.975083,0.891810
7.000000,0.975218,0.974457,0.975269,0.891810
8.000000,0.975313,0.974457,0.975269,0.891810
9.000000,0.975313,0.974547,0.975361,0.891810
10.000000,0.975313,0.974547,0.975454,0.891931
11.000000,0.975408,0.974547,0.975454,0.891931
12.000000,0.975408,0.974547,0.975546,0.891931
13.000000,0.975408,0.974547,0.975546,0.892053
14.000000,0.975408,0.974547,0.975546,0.892053
15.000000,0.975408,0.974547,0.975546,0.892175
16.000000,0.975408,0.974547,0.975546,0.892175
17.000000,0.975408,0.974547,0.975546,0.892175
18.000000,0.975408,0.974547,0.975546,0.892175
19.000000,0.975408,0.974547,0.975546,0.892175
20.000000,0.975408,0.974547,0.975546,0.892175
