delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.999347,0.998124,0.999189,0.999336
1.000000,0.999347,0.998124,0.999189,0.999336
2.000000,0.999347,0.998124,0.999189,0.999336
3.000000,0.999347,0.998124,0.999189,0.999336
4.000000,0.999347,0.998124,0.999189,0.999336
5.000000,0.999347,0.998124,0.999189,0.999336
6.000000,0.999347,0.998124,0.999189,0.999336
7.000000,0.999347,0.998124,0.999189,0.999336
8.000000,0.999347,0.998124,0.999189,0.999336
9.000000,0.999347,0.998124,0.999189,0.999336
10.000000,0.999347,0.998124,0.999189,0.999336
11.000000,0.999347,0.998124,0.999189,0.999336
12.000000,0.999347,0.998124,0.999189,0.999336
13.000000,0.999347,0.998124,0.999189,0.999336
14.000000,0.999347,0.998124,0.999189,0.999336
15.000000,0.999347,0.998124,0.999189,0.999336
16.000000,0.999347,0.998124,0.999189,0.999336
17.000000,0.999347,0.998124,0.999189,0.999336
18.000000,0.999347,0.998124,0.999189,0.999336
19.000000,0.999347,0.998124,0.999189,0.999336
20.000000,0.999347,0.998124,0.999189,0.999336
