delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.008772,0.008658,0.009508,0.927225
10.000000,0.008772,0.008658,0.009508,0.927225
20.000000,0.008772,0.008658,0.009508,0.927225
30.000000,0.008772,0.008658,0.009508,0.927225
40.000000,0.008772,0.008658,0.009508,0.927225
50.000000,0.008772,0.008658,0.009508,0.927225
60.000000,0.008772,0.008658,0.009508,0.927225
70.000000,0.008772,0.008658,0.009508,0.927225
80.000000,0.008772,0.008658,0.009508,0.927225
90.000000,0.008772,0.008658,0.009508,0.927225
100.000000,0.008772,0.008658,0.009508,0.927225
110.000000,0.008772,0.008658,0.009508,0.927225
120.000000,0.008772,0.008658,0.009508,0.927225
130.000000,0.008772,0.008658,0.009508,0.927225
140.000000,0.008772,0.008658,0.009508,0.927225
150.000000,0.008772,0.008658,0.009508,0.927225
160.000000,0.008772,0.008658,0.009508,0.927225
170.000000,0.008772,0.008658,0.009508,0.927225
180.000000,0.008772,0.008658,0.009508,0.927225
190.000000,0.008772,0.008658,0.009508,0.927225
200.000000,0.008772,0.008658,0.009508,0.927225
