delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,1.000000,0.999476,1.000000,0.998988
1.000000,1.000000,0.999476,1.000000,0.998988
2.000000,1.000000,0.999476,1.000000,0.998988
3.000000,1.000000,0.999476,1.000000,0.998988
4.000000,1.000000,0.999476,1.000000,0.998988
5.000000,1.000000,0.999476,1.000000,0.998988
6.000000,1.000000,0.999476,1.000000,0.998988
7.000000,1.000000,0.999476,1.000000,0.998988
8.000000,1.000000,0.999476,1.000000,0.998988
9.000000,1.000000,0.999476,1.000000,0.998988
10.000000,1.000000,0.999476,1.000000,0.998988
11.000000,1.000000,0.999476,1.000000,0.998988
12.000000,1.000000,0.999476,1.000000,0.998988
13.000000,1.000000,0.999476,1.000000,0.998988
14.000000,1.000000,0.999476,1.000000,0.998988
15.000000,1.000000,0.999476,1.000000,0.998988
16.000000,1.000000,0.999476,1.000000,0.998988
17.000000,1.000000,0.999476,1.000000,0.998988
18.000000,1.000000,0.999476,1.000000,0.998988
19.000000,1.000000,0.999476,1.000000,0.998988
20.000000,1.000000,0.999476,1.000000,0.998988
