delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.010066,0.007215,0.006989,0.859226
1.000000,0.010066,0.007215,0.006989,0.859226
2.000000,0.010066,0.007215,0.006989,0.859226
3.000000,0.010066,0.007215,0.006989,0.859226
4.000000,0.010066,0.007215,0.006989,0.859226
5.000000,0.010066,0.007215,0.006989,0.859226
6.000000,0.010066,0.007215,0.006989,0.859226
7.000000,0.010066,0.007215,0.006989,0.859226
8.000000,0.010066,0.007215,0.006989,0.859226
9.000000,0.010066,0.007215,0.006989,0.859226
10.000000,0.010066,0.007215,0.006989,0.859226
11.000000,0.010066,0.007215,0.006989,0.859226
12.000000,0.010066,0.007215,0.006989,0.859226
13.000000,0.010066,0.007215,0.006989,0.859226
14.000000,0.010066,0.007215,0.006989,0.859226
15.000000,0.010066,0.007215,0.006989,0.859226
16.000000,0.010066,0.007215,0.006989,0.859226
17.000000,0.010066,0.007215,0.006989,0.859226
18.000000,0.010066,0.007215,0.006989,0.859226
19.000000,0.010066,0.007215,0.006989,0.859226
20.000000,0.010066,0.007215,0.006989,0.859226
