delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,0.999973,0.999919,0.999885,0.982627
1.000000,0.999973,0.999919,0.999885,0.982720
2.000000,0.999973,0.999919,0.999885,0.982752
3.000000,0.999973,0.999919,0.999885,0.982752
4.000000,0.999973,0.999919,0.999885,0.982752
5.000000,0.999973,0.999919,0.999885,0.982752
6.000000,0.999973,0.999919,0.999885,0.982752
7.000000,0.999973,0.999919,0.999885,0.982752
8.000000,0.999973,0.999919,0.999885,0.982752
9.000000,0.999973,0.999919,0.999885,0.982752
10.000000,0.999973,0.999919,0.999885,0.982752
11.000000,0.999973,0.999919,0.999885,0.982752
12.000000,0.999973,0.999919,0.999885,0.982752
13.000000,0.999973,0.999919,0.999885,0.982752
14.000000,0.999973,0.999919,0.999885,0.982752
15.000000,0.999973,0.999919,0.999885,0.982752
16.000000,0.999973,0.999919,0.999885,0.982752
17.000000,0.999973,0.999919,0.999885,0.982752
18.000000,0.999973,0.999919,0.999885,0.982752
19.000000,0.999973,0.999919,0.999885,0.982752
20.000000,0.999973,0.999919,0.999885,0.982752
