delta_ms,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,1.000000,0.999979,0.999938,0.984796
1.000000,1.000000,0.999979,0.999938,0.984916
2.000000,1.000000,0.999979,0.999938,0.984916
3.000000,1.000000,0.999979,0.999938,0.984939
4.000000,1.000000,0.999979,0.999938,0.984939
5.000000,1.000000,0.999979,0.999938,0.984939
6.000000,1.000000,0.999979,0.999938,0.984939
7.000000,1.000000,0.999979,0.999938,0.984939
8.000000,1.000000,0.999979,0.999938,0.984939
9.000000,1.000000,0.999979,0.999938,0.984939
10.000000,1.000000,0.999979,0.999938,0.984939
11.000000,1.000000,0.999979,0.999938,0.984939
12.000000,1.000000,0.999979,0.999938,0.984939
13.000000,1.000000,0.999979,0.999938,0.984939
14.000000,1.000000,0.999979,0.999938,0.984939
15.000000,1.000000,0.999979,0.999938,0.984939
16.000000,1.000000,0.999979,0.999938,0.984939
17.000000,1.000000,0.999979,0.999938,0.984939
18.000000,1.000000,0.999979,0.999938,0.984939
19.000000,1.000000,0.999979,0.999938,0.984939
20.000000,1.000000,0.999979,0.999938,0.984939
