delta_ms,predict_baseline,observe_baseline,observe_read_repair,observe_anti_entropy,observe_hinted_handoff
0.000000,1.000000,1.000000,1.000000,1.000000,0.999913
1.000000,1.000000,1.000000,1.000000,1.000000,0.999978
2.000000,1.000000,1.000000,1.000000,1.000000,0.999978
3.000000,1.000000,1.000000,1.000000,1.000000,0.999978
4.000000,1.000000,1.000000,1.000000,1.000000,0.999978
5.000000,1.000000,1.000000,1.000000,1.000000,0.999978
6.000000,1.000000,1.000000,1.000000,1.000000,0.999978
7.000000,1.000000,1.000000,1.000000,1.000000,0.999978
8.000000,1.000000,1.000000,1.000000,1.000000,0.999978
9.000000,1.000000,1.000000,1.000000,1.000000,0.999978
10.000000,1.000000,1.000000,1.000000,1.000000,0.999978
11.000000,1.000000,1.000000,1.000000,1.000000,0.999978
12.000000,1.000000,1.000000,1.000000,1.000000,0.999978
13.000000,1.000000,1.000000,1.000000,1.000000,0.999978
14.000000,1.000000,1.000000,1.000000,1.000000,0.999978
15.000000,1.000000,1.000000,1.000000,1.000000,0.999978
16.000000,1.000000,1.000000,1.000000,1.000000,0.999978
17.000000,1.000000,1.000000,1.000000,1.000000,0.999978
18.000000,1.000000,1.000000,1.000000,1.000000,0.999978
19.000000,1.000000,1.000000,1.000000,1.000000,0.999978
20.000000,1.000000,1.000000,1.000000,1.000000,0.999978
